"File missing or wrong format (CSV expected)","File missing or wrong format (CSV expected)"
"Import is done","Import is done"
"An error occurred during import: %1","An error occurred during import: %1"
"Only CSV files are accepted","Only CSV files are accepted"
"Import ColiShip File","Import ColiShip File"
"The following line does not have the correct fields","The following line does not have the correct fields"
"Cannot create shipment for order","Cannot create shipment for order"
"Current situation dashboard","Current situation dashboard"
"Colissimo current situation dashboard","Colissimo current situation dashboard"
"To ship","To ship"
"Shipment","Shipment"
"Bordereau association","Bordereau association"
"Any","Any"
"Only in a bordereau","Only in a bordereau"
"Only *not* in a bordereau","Only *not* in a bordereau"
"Without label","Without label"
"Only with label","Only with label"
"Only without label","Only without label"
"View Order","View Order"
"View Shipment","View Shipment"
"Print label","Print label"
"Only in anomaly","Only in anomaly"
"Only to print","Only to print"
"Number of days to consider a return label for purging (days)","Number of days to consider a return label for purging (days)"
"Delay before deleting return label BLOB from database. Use 0 or leave empty to disable this purge.","Delay before deleting return label BLOB from database. Use 0 or leave empty to disable this purge."
"Return label creation is available for the client","Return label creation is available for the client"
"Your order is being prepared and will soon be taken care of for shipping.","Your order is being prepared and will soon be taken care of for shipping."
"You can check your order status <a href=""%trackinglink"" target=""_blank"">here</a>.","You can check your order status <a href=""%trackinglink"" target=""_blank"">here</a>."
"%storename order status change","%storename order status change"
"Send tracking email","Send tracking email"
"Send the tracking link in an email to customer on label or bordereau generation.","Send the tracking link in an email to customer on label or bordereau generation."
"Dashboard","Dashboard"
"Default HS code","Default HS code"
"Default customs Category","Default customs Category"
"Define the nature of the shipment","Define the nature of the shipment"
"Other","Other"
"Gift","Gift"
"Commercial sample","Commercial sample"
"Commercial shipment","Commercial shipment"
"Document","Document"
"Send return label email","Send return label email"
"Send label in an email to customer on return label generation.","Send label in an email to customer on return label generation."
"You can find the inward label for this order attached to this email.","You can find the inward label for this order attached to this email."
"Email inward label","Email inward label"
"Return label was sent","Return label was sent"
"Please generate return label","Please generate return label"
"Shipment not found","Shipment not found"
"French overseas parcels sent with DDP (Delivered Duty Paid)?","French overseas parcels sent with DDP (Delivered Duty Paid)?"
"For French overseas destinations only (except St-Pierre-et-Miquelon and Mayotte)","For French overseas destinations only (except St-Pierre-et-Miquelon and Mayotte)"
"Generate bordereau","Generate bordereau"
"You can scan the labels. Once finished, you can submit to generate your bordereau.","You can scan the labels. Once finished, you can submit to generate your bordereau."
"Reset","Reset"
"Remove last code","Remove last code"
"Bordereau via scan","Bordereau via scan"
"Code added to list: ","Code added to list: "
"Wrong data, code not added: ","Wrong data, code not added: "
"Code removed: ","Code removed: "
" (see logs for details)"," (see logs for details)"
"wrong data selected","wrong data selected"
"Access Colissimo Box","Access Colissimo Box"
"An error occurred during printing","An error occurred during printing"
"Parameters are incorrect.","Parameters are incorrect."
"Cannot print label before generation.","Cannot print label before generation."
"Download inward label","Download inward label"
"Download outward label","Download outward label"
"An error occurred during download","An error occurred during download"
"Download shipment related information","Download shipment related information"
"Longer than 3 days","Longer than 3 days"
"In transit","In transit"
"Unknow status","Unknow status"
"No status","No status"
"Please generate label","Please generate label"
"Download label","Download label"
"Invoice missing for order #%1 to create label","Invoice missing for order #%1 to create label"
"There must be only one invoice on order #%1 to create return label with CN23.","There must be only one invoice on order #%1 to create return label with CN23."
"Canary Islands","Canary Islands"
"Please generate inward label","Please generate inward label"
"Google Maps API Key","Google Maps API Key"
"This key is needed to display the selection map","This key is needed to display the selection map"
"no change","no change"
"Download example of FMT file","Download example of FMT file"
"Retrieve an example of Colissimo FMT file.","Retrieve an example of Colissimo FMT file."
"Check","Check"
"You can define specific HS code per product in the product attribute 'Product HS Code'. If not, the default code will be used.","You can define specific HS code per product in the product attribute 'Product HS Code'. If not, the default code will be used."
"Product HS Code","Product HS Code"
"Cannot find order %s","Cannot find order %s"
"Shipping fees based on","Shipping fees based on"
"Do you want to base your shipping fees on cart weight (default) or on cart price?","Do you want to base your shipping fees on cart weight (default) or on cart price?"
"Cart weight","Cart weight"
"Cart price","Cart price"
"Colissimo Flash without signature","Colissimo Flash without signature"
"Colissimo Flash with signature","Colissimo Flash with signature"
"Enable the Colissimo Flash without signature mode","Enable the Colissimo Flash without signature mode"
"Enable the Colissimo Flash with signature mode","Enable the Colissimo Flash with signature mode"
"The Colissimo Flash method (J+1) will not be available past this hour.","The Colissimo Flash method (J+1) will not be available past this hour."
"Colissimo Flash Maximum hour","Colissimo Flash Maximum hour"
"Maximum weight / price","Maximum weight / price"
"Do you want to limit the weight or price you can ship with this method? Use 0 or leave empty to disable the check.","Do you want to limit the weight or price you can ship with this method? Use 0 or leave empty to disable the check."
"Colissimo In-Transit","Colissimo In-Transit"
"Colissimo Delivered","Colissimo Delivered"
"Colissimo Anomaly","Colissimo Anomaly"
"Colissimo Ready to ship","Colissimo Ready to ship"
"Download shipment related informations","Download shipment related informations"
"Print shipment related informations","Print shipment related informations"
"Contact us","Contact us"
"On label generation","On label generation"
"On bordereau generation","On bordereau generation"
"Display shipping methods logo on checkout","Display shipping methods logo on checkout"
"Choose to add the shipping methods logo next to the method name in the checkout","Choose to add the shipping methods logo next to the method name in the checkout"
"Timeline","Timeline"
"Step number","Step number"
"Method","Method"
"Cart weight min","Cart weight min"
"Cart weight max","Cart weight max"
"Cart price min","Cart price min"
"Cart price max","Cart price max"
"Prices","Prices"
"Price ranges","Price ranges"
"Configuration","Configuration"
"Back to configuration","Back to configuration"
"Delete Price","Delete Price"
"Are you sure you want to do this","Are you sure you want to do this"
"Save Price","Save Price"
"Add new price","Add new price"
"Edit Price %1 - %2","Edit Price %1 - %2"
"Edit Price","Edit Price"
"New Price","New Price"
"You deleted the Price.","You deleted the Price."
"We can't find a Price to delete.","We can't find a Price to delete."
"This Price no longer exists.","This Price no longer exists."
"You saved the Price.","You saved the Price."
"Outward label not allowed for this destination","Outward label not allowed for this destination"
"Inward label not allowed for this destination","Inward label not allowed for this destination"
"Unknown error","Unknown error"
"An error occurred when transmitting the file %1$s: %2$s","An error occurred when transmitting the file %1$s: %2$s"
"An error occurred while getting the customs files for this order: %s","An error occurred while getting the customs files for this order: %s"
"Customs documents","Customs documents"
"In accordance with the customs regulation, it is necessary to provide documents related to the parcels for the customs.","In accordance with the customs regulation, it is necessary to provide documents related to the parcels for the customs."
"It is possible to send these documents through the parcel tracking tool or using the module from here.","It is possible to send these documents through the parcel tracking tool or using the module from here."
"Custom clearance bordereau","Custom clearance bordereau"
"Original certificate","Original certificate"
"Customs declaration","Customs declaration"
"Export license","Export license"
"Parcel invoice","Parcel invoice"
"Compensation report","Compensation report"
"Delivery certificate","Delivery certificate"
"Label","Label"
"Proof of delivery","Proof of delivery"
"Other document","Other document"
"Unique administrative document","Unique administrative document"
"Picture","Picture"
"Document type","Document type"
"Add an other document","Add an other document"
"Submit the documents","Submit the documents"
"Error sending the customs document %1$s for the parcel number %2$s","Error sending the customs document %1$s for the parcel number %2$s"
"Colissimo services","Colissimo services"
"Check status","Check status"
"An error occurred while deleting label for shipment #%1: ","An error occurred while deleting label for shipment #%1: "
"Shipping labels have been deleted.","Shipping labels have been deleted."
"Delete labels","Delete labels"
"Sending service","Sending service"
"Sending service used for Austria, Germany, Italy and Luxembourg","Sending service used for Austria, Germany, Italy and Luxembourg"
"Local postal service","Local postal service"
"Parent account user name","Parent account user name"
"Colour of the selected pickup point in the list and on the map","Colour of the selected pickup point in the list and on the map"
"Information icons color","Information icons color"
"Font","Font"
"Font for texts inside the widget","Font for texts inside the widget"
"If enabled, you can customize font and font color of the Colissimo widget","If enabled, you can customize font and font color of the Colissimo widget"
"Customize widget","Customize widget"
"URL is valid","URL is valid"
"Error calling URL:","Error calling URL:"
"No URL saved.","No URL saved."
"Option price for Australia","Option price for Australia"
"Option price for Bahrain","Option price for Bahrain"
"Option price for Canada","Option price for Canada"
"Option price for China","Option price for China"
"Option price for Egypt","Option price for Egypt"
"Option price for Hong Kong","Option price for Hong Kong"
"Option price for Indonesia","Option price for Indonesia"
"Option price for Japan","Option price for Japan"
"Option price for Kuwait","Option price for Kuwait"
"Option price for Mexico","Option price for Mexico"
"Option price for Oman","Option price for Oman"
"Option price for Philippines","Option price for Philippines"
"Option price for Saudi Arabia","Option price for Saudi Arabia"
"Option price for Singapore","Option price for Singapore"
"Option price for South Africa","Option price for South Africa"
"Option price for South Korea","Option price for South Korea"
"Option price for Switzerland","Option price for Switzerland"
"Option price for Thailand","Option price for Thailand"
"Option price for United Arab Emirates","Option price for United Arab Emirates"
"Option price for United Kingdom","Option price for United Kingdom"
"Option price for United States","Option price for United States"
"Delivery Duty Paid","Delivery Duty Paid"
"Colissimo Domicile with signature - DDP Option","Colissimo Domicile with signature - DDP Option"
"This delivery method will allow you to set the shipment ""Colissimo with Signature with DDP"" which is only valid and will be displayed for Australia, Bahrain, Canada, China, Egypt, Hong Kong, Indonesia, Japan, Kuwait, Mexico, Oman, Philippines, Saudi Arabia, Singapore, South Africa, South Korea, Switzerland, Thailand, United Arab Emirates, United Kingdom, United States (USA). For the United Kingdom, it is restricted to commercial shipments between 160€ and 1050€ included.","This delivery method will allow you to set the shipment ""Colissimo with Signature with DDP"" which is only valid and will be displayed for Australia, Bahrain, Canada, China, Egypt, Hong Kong, Indonesia, Japan, Kuwait, Mexico, Oman, Philippines, Saudi Arabia, Singapore, South Africa, South Korea, Switzerland, Thailand, United Arab Emirates, United Kingdom, United States (USA). For the United Kingdom, it is restricted to commercial shipments between 160€ and 1050€ included."
"Colissimo International - DDP Option","Colissimo International - DDP Option"
"This delivery method will allow you to set the shipment ""Colissimo International - DDP Option"" which is valid and will be displayed only for the following countries: Australia, Bahrain, Canada, China, Egypt, Hong Kong, Indonesia, Japan, Kuwait, Mexico, Oman, Philippines, Saudi Arabia, Singapore, South Africa, South Korea, Switzerland, Thailand, United Arab Emirates, United Kingdom, USA","This delivery method will allow you to set the shipment ""Colissimo International - DDP Option"" which is valid and will be displayed only for the following countries: Australia, Bahrain, Canada, China, Egypt, Hong Kong, Indonesia, Japan, Kuwait, Mexico, Oman, Philippines, Saudi Arabia, Singapore, South Africa, South Korea, Switzerland, Thailand, United Arab Emirates, United Kingdom, USA"
"Message displayed when selecting the delivery method","Message displayed when selecting the delivery method"
"Shipping state missing for label generation with this country","Shipping state missing for label generation with this country"
"Please define a mobile phone number for SMS notification tracking","Please define a mobile phone number for SMS notification tracking"
"Please enter the package dimensions","Please enter the package dimensions"
"Please enter the EORI code in the Colissimo configuration","Please enter the EORI code in the Colissimo configuration"
"Colissimo information for DDP","Colissimo information for DDP"
"Extra information needed for Colissimo DDP delivery methods","Extra information needed for Colissimo DDP delivery methods"
"Generic description of articles in English","Generic description of articles in English"
"Package length (cm)","Package length (cm)"
"Package width (cm)","Package width (cm)"
"Package height (cm)","Package height (cm)"
"Save DDP data","Save DDP data"
"Shipping address:","Shipping address:"
"Tracking number: <a href=""%trackinglink"" target=""_blank"">%tracknb</a>.","Tracking number: <a href=""%trackinglink"" target=""_blank"">%tracknb</a>."
"The mobile number for a Belgian destination must start with +324 and be 12 characters long. For example +324XXXXXXXX","The mobile number for a Belgian destination must start with +324 and be 12 characters long. For example +324XXXXXXXX"
"The insurance value has been lowered to the maximum value authorized for this sending method: %s","The insurance value has been lowered to the maximum value authorized for this sending method: %s"
"Insurance is not available for this country and/or shipping method","Insurance is not available for this country and/or shipping method"
"Shipping method changed to %1$s for %2$d orders.","Shipping method changed to %1$s for %2$d orders."
"Ship with: Colissimo Domicile without signature","Ship with: Colissimo Domicile without signature"
"Ship with: Colissimo Domicile with signature","Ship with: Colissimo Domicile with signature"
"Ship with: Colissimo Domicile with signature - DDP Option","Ship with: Colissimo Domicile with signature - DDP Option"
"Shipping method changed to %1$s for %2$d orders.","Shipping method changed to %1$s for %2$d orders."
"The order #%1$d cannot be shipped with %2$s","The order #%1$d cannot be shipped with %2$s"
"The order #%d was made to be shipped to a relay point, make sure to change its shipping address!","The order #%d was made to be shipped to a relay point, make sure to change its shipping address!"
"Colissimo support","Colissimo support"
"Module support","Module support"
"Error generating outward label:","Error generating outward label:"
"Error generating inward label:","Error generating inward label:"
"Order status when order is partially shipped","Order status when order is partially shipped"
"Order status to apply after successful label generation for partial shipping.","Order status to apply after successful label generation for partial shipping."
"Colissimo Partial Expedition","Colissimo Partial Expedition"
"Order status to apply after successful final label generation (be sure to use a status with COMPLETE state)","Order status to apply after successful final label generation (be sure to use a status with COMPLETE state)"
"Save insurance amount","Save insurance amount"
"Colissimo insurance","Colissimo insurance"
"Personalized amount of insurance","Personalized amount of insurance"
"Use Colissimo Insurance for outward label?","Use Colissimo Insurance for outward label?"
"If enabled, each outward label generation will use Colissimo Insurance feature by default.","If enabled, each outward label generation will use Colissimo Insurance feature by default."
"Use Colissimo Insurance for inward label?","Use Colissimo Insurance for inward label?"
"If enabled, each inward label generation will use Colissimo Insurance feature by default.","If enabled, each inward label generation will use Colissimo Insurance feature by default."
"Automatically select the nearest relay point","Automatically select the nearest relay point"
"When the user selects the relay method during the checkout, it will automatically propose a relay point based on the shipping address","When the user selects the relay method during the checkout, it will automatically propose a relay point based on the shipping address"
"Choose my relay","Choose my relay"
"Closest pickup point:","Closest pickup point:"
"La Poste Colissimo number of parcels","La Poste Colissimo number of parcels"
"La Poste Colissimo parcel number","La Poste Colissimo parcel number"
"La Poste Colissimo shipping type","La Poste Colissimo shipping type"
"Colissimo Multi Parcels","Colissimo Multi Parcels"
"Use the multi-parcels shipping","Use the multi-parcels shipping"
"Number of parcels","Number of parcels"
"Save multi parcels data","Save multi parcels data"
"Incorrect number of parcels","Incorrect number of parcels"
"All labels have already been generated","All labels have already been generated"
"Colissimo Widget","Colissimo Widget"
"Google Maps (requires an API key)","Google Maps (requires an API key)"
"Open Street Maps (free)","Open Street Maps (free)"
"The shipping costs must not be free for the customs declaration to be valid.","The shipping costs must not be free for the customs declaration to be valid."
"Use Colissimo Insurance?","Use Colissimo Insurance?"
"Video tutorials","Video tutorials"
"General presentation of the module","General presentation of the module"
"Shipping methods configuration","Shipping methods configuration"
"Labels generation","Labels generation"
"Order with Colissimo pickup point","Order with Colissimo pickup point"
"Orders with customs declaration","Orders with customs declaration"
"Multi-parcels shipment","Multi-parcels shipment"
"Multi-parcels shipment for overseas","Multi-parcels shipment for overseas"
"Tracking parcels","Tracking parcels"
"Delivery Dupy Paid (DDP)","Delivery Dupy Paid (DDP)"
"Delivery slip","Delivery slip"
"Parcels returnal","Parcels returnal"
"Display on map","Display on map"
"Maximum number of displayed relays","Maximum number of displayed relays"
"Only applicable for map type other than Colissimo widget","Only applicable for map type other than Colissimo widget"
"Display more pickup points","Display more pickup points"
"Default display in mobile","Default display in mobile"
"When the user is on a mobile device with GoogleMaps or Leaflet, the default display can be the list of relays or the map and the list.","When the user is on a mobile device with GoogleMaps or Leaflet, the default display can be the list of relays or the map and the list."
"Map and list","Map and list"
"List only","List only"
"We have detected that you have not yet signed the latest version of our GTC. Your consent is necessary in order to continue using Colissimo services. We therefore invite you to sign them on your Colissimo entreprise space, by clicking on the link below:","We have detected that you have not yet signed the latest version of our GTC. Your consent is necessary in order to continue using Colissimo services. We therefore invite you to sign them on your Colissimo entreprise space, by clicking on the link below:"
"Sign the GTC","Sign the GTC"
"Colissimo module version","Colissimo module version"
"Number of CN23 documents to generate","Number of CN23 documents to generate"
"Please enter a number between 1 and 4","Please enter a number between 1 and 4"
"Download full log","Download full log"
"Download","Download"
"CN23 print format","CN23 print format"
"PDF office printing, dimension A4 and resolution of 300dpi","PDF office printing, dimension A4 and resolution of 300dpi"
"PDF office printing, dimension 10cm x 15cm, and resolution of 300dpi","PDF office printing, dimension 10cm x 15cm, and resolution of 300dpi"
"PDF office printing, dimension 10cm x 12cm, and resolution of 300dpi","PDF office printing, dimension 10cm x 12cm, and resolution of 300dpi"
"PDF office printing, dimension 10cm x 10cm, and resolution of 300dpi","PDF office printing, dimension 10cm x 10cm, and resolution of 300dpi"
"Export","Export"
"Export items","Export items"
"Import prices","Import prices"
"Import CSV file","Import CSV file"
"Prices import","Prices import"
"Import","Import"
"Would you like to help us improve our module by answering our questionnaire?<br /> If so, go to <a href=""%1"">the Module feedback part of our configuration page</a>.","Would you like to help us improve our module by answering our questionnaire?<br /> If so, go to <a href=""%1"">the Module feedback part of our configuration page</a>."
"Module feedback","Module feedback"
"If not, don't remind me.","If not, don't remind me."
"Shipping notes","Shipping notes"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Shipping information for Colissimo","Shipping information for Colissimo"
"Return labels for International shipments are only available in PDF A4 format and will ignore this option.","Return labels for International shipments are only available in PDF A4 format and will ignore this option."
"Only post offices are available for this order","Only post offices are available for this order"
"Module setup","Module setup"
"Not yet registered on Colissimo?","Not yet registered on Colissimo?"
"Here is how to do it:","Here is how to do it:"
"To register for the <a target=""_blank"" href=""%1$s"">Colissimo Facilité</a> option, fill <a target=""_blank"" href=""%2$s"">this commercial contact form</a> to create an account and receive your ids within a few days.","To register for the <a target=""_blank"" href=""%1$s"">Colissimo Facilité</a> option, fill <a target=""_blank"" href=""%2$s"">this commercial contact form</a> to create an account and receive your ids within a few days."
"To register for the <a target=""_blank"" href=""%1$s"">Colissimo Privilège</a> option, fill <a target=""_blank"" href=""%2$s"">this commercial contact form</a> to be contacted by a sales representative.","To register for the <a target=""_blank"" href=""%1$s"">Colissimo Privilège</a> option, fill <a target=""_blank"" href=""%2$s"">this commercial contact form</a> to be contacted by a sales representative."
"Already registered on Colissimo?","Already registered on Colissimo?"
"Here is how to configure your module:","Here is how to configure your module:"
"I associate my account to the Colissimo module","I associate my account to the Colissimo module"
"To connect the module, you must enter your Colissimo credentials in %s of this page.","To connect the module, you must enter your Colissimo credentials in %s of this page."
"the ""General configuration"" section","the ""General configuration"" section"
"The User Name must be the one you use to connect to <a target=""_blank"" href=""%s"">Colissimo Entreprise</a>.","The User Name must be the one you use to connect to <a target=""_blank"" href=""%s"">Colissimo Entreprise</a>."
"I configure my settings to simplify my shipping preparations thanks to Colissimo features","I configure my settings to simplify my shipping preparations thanks to Colissimo features"
"Activate <a href=""%s"" target=""_blank"">the Colissimo shipping methods</a>, and customize their names for your customers","Activate <a href=""%s"" target=""_blank"">the Colissimo shipping methods</a>, and customize their names for your customers"
"%s of your labels under the ""Labels"" section","%s of your labels under the ""Labels"" section"
"Choose the format","Choose the format"
"Enter %s for your shipments outside the European Union","Enter %s for your shipments outside the European Union"
"your customs formalities","your customs formalities"
"I make sure the Magento settings are complete","I make sure the Magento settings are complete"
"Enter <a target=""_blank"" href=""%s"">your origin address</a> to be able to generate labels","Enter <a target=""_blank"" href=""%s"">your origin address</a> to be able to generate labels"
"All the products must have a weight configured","All the products must have a weight configured"
"The products may have a custom HS code and country of manufacture, or you can setup default values with the customs options","The products may have a custom HS code and country of manufacture, or you can setup default values with the customs options"
"I configure my shipping rates","I configure my shipping rates"
"Head to <a target=""_blank"" href=""%s"">the Colissimo prices page</a>","Head to <a target=""_blank"" href=""%s"">the Colissimo prices page</a>"
"The Colissimo module automatically creates its rules based on the current prices","The Colissimo module automatically creates its rules based on the current prices"
"You can customize the shipping prices of the delivery solutions for your customers","You can customize the shipping prices of the delivery solutions for your customers"
"Beware: Colissimo doesn't handle parcels over 30kg. Be careful about the weight unit and when you modify the weight ranges.","Beware: Colissimo doesn't handle parcels over 30kg. Be careful about the weight unit and when you modify the weight ranges."
"Need help?","Need help?"
"You can also contact the Colissimo support by phone at %1$s or the technical support by email at %2$s","You can also contact the Colissimo support by phone at %1$s or the technical support by email at %2$s"
"Colissimo International (Deprecated)","Colissimo International (Deprecated)"
"Colissimo International - DDP Option (Deprecated)","Colissimo International - DDP Option (Deprecated)"
"The ""Colissimo International"" method is deprecated, it is strongly recommended to <a href=""%s"">disable it</a> and replace it with the ""Colissimo with signature"" method.","The ""Colissimo International"" method is deprecated, it is strongly recommended to disable it and replace it with the ""Colissimo with signature"" method."
